"Extension:","Модуль:"
"<strong>%s</strong> (version %s)","<strong>%s</strong> (версия %s)"
"License:","Лицензия:"
"Short Description:","Краткое описание:"
"Additional Information:","Дополнительная информация:"
"Support:","Поддержка:"
"Advertisement:","Реклама:"
"You can view the full list of extension features in <a href=""%s"" target=""_blank"">Our Shop</a> or check for known issues on our <a href=""%s"" target=""_blank"">Documentation Website</a>","Полное описание возможностей модуля смотрите в нашем <a href=""%s"" target=""_blank"">магазине</a>.<br>Список известных проблем можно посмотреть в <a href=""%s"" target=""_blank"">документации</a>"
"You can hire our team to customize the extension. Simply use the issue tracking system or e-mail us to sales@etwebsolutions.com<br><br>Don't forget to check out our websites: <a href=""%s"" target=""_blank"">Services</a> and <a href=""%s"" target=""_blank"">Ready Extensions</a>","Вы можете нанять нашу команду для любых работ по модификации модуля. Для этого используйте систему поддержки или напишите на по адресу sales@etwebsolutions.com<br><br>Не забудьте также посетить наши сайты: Magento <a href=""%s"" target=""_blank"">Услуги</a> и <a href=""%s"" target=""_blank"">Модули</a>"
"Extension support is available via <a href=""%s"" target=""_blank"">issue tracking system</a>.<br><br>Please, report all bugs and feature requests that are related to this extension.<br><br>If, by some reason, you cannot submit a question, bug report, or feature request to our ticket system, you can write us an email to support@etwebsolutions.com","Поддержка модуля осуществляется через <a href=""%s"" target=""_blank"">систему отслеживания заданий</a>.<br><br>Пожалуйста, сообщайте нам о найденных ошибках и о своих пожеланиях в рамках этого модуля.<br><br>Если по каким-либо причинам вы не можете размеситить вопрос/сообщение об ошибке/пожелание в списке задач, то можете написать нам по адресу support@etwebsolutions.com."

"Currency Rate Updater","Источники курсов валют"
"Currency Rate Updater information","Информация о модуле Источники курсов валют"
"Currency Rate Updater Options","Настройки модуля Источники курсов валют"


"Links to currency global options","Ссылки на глобальные настройки валют"
"Currency Setup section","Раздел настройки валют"
"Go to Currency Setup section","Перейти к разделу настроек валют"
"Currency Install section","Раздел установки валют"
"Go to Currency Install section","Перейти к разделу установки валют"

"Rate %s not updated. Currency %s is excluded from update. Check Currency Rate Updater settings.","Курс для пары %s не обновлён. Валюта %s исключена из обновления. Смотрите настройки модуля Источники курсов валют."

"Use the rate adjustment","Использовать корректировку курса"
"Enable/disable rate adjustment","Включить/Выключить корректировку курса"
"Adjustment Percentage","Процент корректировки"
"3 percents are set by default","3 процента назначено по умолчанию"
"Turn on/off currency rate adjustment.<br><b>Important</b>: works only for sources added by this extension.","Включить/Выключить корректировку курса.<br><b>Важно</b>: работает только для источников, добавляемых этим модулем."
"The exchange rate received from the source will be changed to the specified percentage. Default: 3%","Полученный из источника курс будет изменён на указанный процент. По умолчанию: 3%."
"Configure exceptions","Настроить исключения"
"Exceptions","Исключения"
"Turn exception updates on and specify currencies for which you do not want to change the exchange rates when you start the update. <b>Important</b>: works only for the sources added by this extension.","Включите исключения обновлений и укажите валюты, курс для которых не нужно менять при запуске обновления. <b>Важно</b>: работает только для источников, добавляемых этим модулем."
"Do not update rates for the currencies","Не обновлять курсы для валют"
"In these default settings you can add/remove currency that will be available on the website and schedule rate update.","В этих стандартных настройках вы можете добавить/удалить валюты, которые будут доступны на сайте и настроить автообнолвение курсов."
"In these default settings you can add/remove currency that will be available in the system.","В этих стандартных настройках вы можете добавить/удалить валюты, которые будут доступны в системе."
"The exchange rates for the selected currencies will not be updated.<br><b>Important</b>: works only for the sources added by this extension.","Для выбранных валют курс не будет обновляться.<br><b>Важно</b>: работает только для источников, добавляемых этим модулем."
"Click here to setup currency rates adjustment or configure exceptions","Перейти к дополнительным настройкам обновления курсов: задать исключения или настроить корректировку курса"

"Logging","Логирование"
"Debug mode","Режим отладки"
"Log File Name","Название лог-файла"
"Due to the error shown above, the rate has not been updated for either currency","Из-за ошибок, показанных выше, курс не был обновлён ни для одной валюты"
"In debug mode, data received from the sources will be stored in log file.","В режиме отладки данные, получаемые от источника, будут записываться в файл для возможности дальнейшего анализа."
