"Country Blocker — Frontend","Country Blocker — Пользовательская часть"
"Country Blocker — Admin","Country Blocker — Панель администрирования"
"Country Blocker — GeoIP Database source","Country Blocker — Источник GeoIP базы данных"
"GeoIP data source","Источник GeoIP данных"

"Enable admin notifications","Включить оповещения"
"Admin notifications","Оповещения в панели администрирования"
"Automatic Update","Автоматическое обновление"
"Weekly update GeoIP data by cron.","Еженедельно обновлять GeoIP данные по крону."
"Upload <b>GeoLite Country Binary/gzip</b> file provided by MaxMind, Inc. http://dev.maxmind.com/geoip/legacy/geolite/","Закачайте <b>GeoLite Country Binary/gzip</b> файл, предоставляемый компанией MaxMind, Inc. http://dev.maxmind.com/geoip/legacy/geolite/"
"For the extension to be able to find out from which country the IP address is, it requires a data source. At the moment the extension can work with two data sources. Choose, which one is more appropriate for you.<br><br>The description of these data sources is available on the <a href=""http://shop.etwebsolutions.com/eng/et-country-blocker.html"" target=""_blank"">extension's page.</a>","Для работы модуля необходим источник данных, для проверки принадлежности IP адреса определённой стране. На данный момент модуль может работать с двумя источниками. Выберите подходящий для вас.<br><br> Информация об этих режимах доступна на <a href=""http://shop.etwebsolutions.com/rus/et-country-blocker.html"" target=""_blank"">странице модуля</a>."
"Show admin notifications about data source state. Example: No data available, data updated long ago...","Показывать предупреждения о состоянии источника данных. Пример: нет данных, долго не обновлялся..."
"Manual upload","Закачать файл вручную"
"Some servers are configured in a way to forbid websites to download files from internet. If you have such occasion, you should choose a manual upload.","Некоторые сервера настроены таким образом, что не позволяют сайту скачивать файлы из интернета. Если у вас такой случай, выбирайте ручную закачку."
"If visitor is from blocked country, but his IP-address is in this field, he will be allowed to visit the website.","Если посетитель из заблокированной страны, но в этом поле указан его IP, то доступ к сайту для него не будет закрыт."
