"Yes","Да"
"No","Нет"
"Allow Guests to Write Reviews","Разрешить гостям оставлять отзывы"
"Send notification","Отправлять уведомления"
"Enable pre-moderation","Включить премодерацию"
"Enable email send","Разрешить отправку е-майла"
"Mail to","Е-майл получаетля"
"Send notification","Отправлять уведомления"
"Store email","Е-майл магазина"
"Enable","Включить"
"Address to shop reviews page. Default: shop-reviews <br><a href="" "" id=""shop_reviews"" target=""_blank""></a>","Ссылка на страницу с отзывами. По умолчанию: shop-reviews <br><a href="" "" id=""shop_reviews"" target=""_blank""></a>"
"Enable ET Shop Reviews module","Включить модуль ET Shop Reviews"
"Post review without page reload","Работа модуля без перезагрузки страницы"
"If option is enabled, review will be sent without page reload","Если параметр включен, добавление отзывов и фильтрация будут осуществлены без перезагрузки страницы"
"Use jQuery library","Использовать библиотеку jQuery"
"Built- in module javascript scripts","Если ваша тема уже использует библиотеку jQuery, то этот параметр должен быть отключён"
"Reviews autoload","Подгружать отзывы автоматически"
"If this option is enabled, the reviews will be loaded automatically when scrolling the page down If this option is disabled, the reviews will be split into pages.","Если параметр включен, то отзывы будут подгружаться автоматически при промотке страницы вниз. Если выключена, то отзывы будут разбиты на страницы."
"Hide reviews form","Скрывать форму для отзыва"
"If this option is enabled, the reviews form by default will be hidden and will only appear when you click ""Write"". If disabled, the form will be always visible.","Если параметр включен то форма для отзыва будет скрыта и будет появляться при нажатии на кнопку ""Написать"". Если отключена, то форма будет видна всегда."
"If option is enabled user will be able to choose rating from 1 to 5. Default: Yes","Если параметр включен то пользователь сможет поставить оценку от 1 до 5. По умолчанию: включена"
"If option is disabled review will be shown in user's interface right after user will post it.","При отключенной премодерации, отзыв будет показан в пользовательской части сразу после добавления."
"Urls settings","Настройки ссылок"
"Display Settings","Настройки отображения"
"Post Review Settings","Настройки формы подачи отзывов"
"Rating system", "Система оценок"
"Actions","Действия"
"Update status","Изменить статус"
"Delete","Удалить"
"Guest","Гость"
"No rating","Нет оценки"
"All reviews","Все отзывы"
"Posted By","Отправил"
"Ratings","Оценка"
"Post Date","Дата"
"Visible In","Область видимости"
"Please select rate","Пожалуйста оцените сайт"
"Review submitted successfully!","Отзыв успешно отправлен"
"Fill all required fields","Заполните все необходимые поля"
"Review was sent to moderator.","Отзыв был отправлен на проверку модератору."
"Review was successfully added.","Отзыв был успешно добавлен."
"Error. Some data is missing.","Ошибка. Не хватает данных."
"Send","Отправить"
"To send review you need to log in.","Для написания отзыва, вам нужно авторизоваться."
"Characters Left:","Осталось символов:"
"Write","Написать"
"reviews: ","отзывов: "
"Write a review about our shop!","Напишите отзыв о нашем магазине!"
"Rate our shop","Оцените магазин"
"Write reviews:","Написать отзыв:"
"Shops answer:","Ответ магазина:"


"Extension:","Модуль:"
"<strong>%s</strong> (version %s)","<strong>%s</strong> (версия %s)"
"License:","Лицензия:"
"Documentation:","Документация:"
"Documentation","Документация"
"Short Description:","Краткое описание:"
"Additional Information:","Дополнительная информация:"
"Support:","Поддержка:"
"Advertisement:","Реклама:"
"You can view the full list of extension features in <a href=""%s"" target=""_blank"">Our Shop</a> or check for known issues on our <a href=""%s"" target=""_blank"">Documentation Website</a>","Полное описание возможностей модуля смотрите в нашем <a href=""%s"" target=""_blank"">магазине</a>.<br>Список известных проблем можно посмотреть в <a href=""%s"" target=""_blank"">документации</a>"
"You can hire our team to customize the extension. Simply use the issue tracking system or e-mail us to sales@etwebsolutions.com<br><br>Don't forget to check out our websites: <a href=""%s"" target=""_blank"">Services</a> and <a href=""%s"" target=""_blank"">Ready Extensions</a>","Вы можете нанять нашу команду для любых работ по модификации модуля. Для этого используйте систему поддержки или напишите на по адресу sales@etwebsolutions.com<br><br>Не забудьте также посетить наши сайты: Magento <a href=""%s"" target=""_blank"">Услуги</a> и <a href=""%s"" target=""_blank"">Модули</a>"
"Extension support is available via <a href=""%s"" target=""_blank"">issue tracking system</a>.<br><br>Please, report all bugs and feature requests that are related to this extension.<br><br>If, by some reason, you cannot submit a question, bug report, or feature request to our ticket system, you can write us an email to support@etwebsolutions.com","Поддержка модуля осуществляется через <a href=""%s"" target=""_blank"">систему отслеживания заданий</a>.<br><br>Пожалуйста, сообщайте нам о найденных ошибках и о своих пожеланиях в рамках этого модуля.<br><br>Если по каким-либо причинам вы не можете размеситить вопрос/сообщение об ошибке/пожелание в списке задач, то можете написать нам по адресу support@etwebsolutions.com."

"Shop reviews","Отзывы о магазине"
"All reviews","Все отзывы"
"Pending reviews","Отзывы ожидающие проверки"
"Approved reviews","Одоюренные отзывы"
"ET Shop Reviews settings","Настройки модуля ET Shop Reviews"
"Review text","Текст отзыва"
"Shop answer","Ответ магазина"
"Customer name","Имя пользователя"
"Admin name","Имя администратора"
"Status","Статус"
"Review date","Дата отзыва"
"Not Approved","Отклонён"
"Approved","Одобрен"
"Shop Reviews Information","Информация о модуле Shop Reviews"
"Shop Reviews Settings","Настройки модуля Shop Reviews"
"Shop reviews page address","Адрес страницы с отзывами о магазине"
